,rand_values,choices
0,"[2, 5]","[6, 3]"
1,"[5, 1]","[5, 5]"
2,"[4, 1]","[4, 6]"
3,"[2, 2]","[3, 2]"
4,"[1, 4]","[2, 4]"
5,"[1, 1]","[1, 1]"
6,"[0, 0]","[0, 0]"
7,"[6, 1]","[6, 3]"
8,"[3, 1]","[5, 5]"
9,"[3, 0]","[4, 6]"
10,"[2, 1]","[3, 2]"
11,"[1, 4]","[2, 4]"
12,"[1, 0]","[1, 1]"
13,"[0, 0]","[0, 0]"
14,"[6, 3]","[6, 3]"
15,"[5, 0]","[5, 5]"
16,"[1, 4]","[4, 6]"
17,"[3, 0]","[3, 2]"
18,"[0, 0]","[2, 4]"
19,"[0, 1]","[1, 1]"
20,"[0, 0]","[0, 0]"
21,"[3, 6]","[6, 5]"
22,"[3, 1]","[4, 4]"
23,"[3, 2]","[5, 6]"
24,"[1, 3]","[3, 3]"
25,"[0, 1]","[2, 2]"
26,"[0, 0]","[1, 1]"
27,"[0, 0]","[0, 0]"
28,"[5, 3]","[6, 4]"
29,"[3, 5]","[5, 5]"
30,"[3, 0]","[4, 6]"
31,"[3, 2]","[3, 3]"
32,"[0, 0]","[2, 2]"
33,"[1, 1]","[1, 1]"
34,"[0, 0]","[0, 0]"
35,"[2, 4]","[6, 5]"
36,"[4, 0]","[5, 4]"
37,"[1, 2]","[3, 6]"
38,"[2, 2]","[4, 2]"
39,"[1, 3]","[2, 3]"
40,"[0, 1]","[1, 1]"
41,"[0, 0]","[0, 0]"
42,"[5, 1]","[6, 4]"
43,"[3, 0]","[5, 5]"
44,"[2, 6]","[4, 6]"
45,"[1, 2]","[3, 3]"
46,"[2, 2]","[2, 2]"
47,"[1, 0]","[1, 1]"
48,"[0, 0]","[0, 0]"
49,"[3, 0]","[6, 3]"
50,"[2, 1]","[5, 5]"
51,"[3, 6]","[4, 6]"
52,"[0, 1]","[3, 2]"
53,"[0, 4]","[2, 4]"
54,"[0, 1]","[1, 1]"
55,"[0, 0]","[0, 0]"
56,"[1, 0]","[6, 4]"
57,"[5, 3]","[5, 5]"
58,"[0, 2]","[4, 6]"
59,"[1, 2]","[3, 3]"
60,"[0, 1]","[2, 2]"
61,"[1, 1]","[1, 1]"
62,"[0, 0]","[0, 0]"
63,"[2, 4]","[6, 5]"
64,"[0, 3]","[4, 4]"
65,"[2, 6]","[5, 6]"
66,"[2, 1]","[3, 3]"
67,"[1, 0]","[2, 2]"
68,"[1, 0]","[1, 1]"
69,"[0, 0]","[0, 0]"
70,"[1, 6]","[6, 5]"
