,rand_values,choices
0,"[2, 5]","[2, 4]"
1,"[6, 1]","[6, 3]"
2,"[5, 1]","[5, 2]"
3,"[3, 5]","[4, 5]"
4,"[1, 6]","[3, 6]"
5,"[1, 1]","[1, 1]"
6,"[0, 0]","[0, 0]"
7,"[6, 1]","[6, 4]"
8,"[3, 1]","[5, 3]"
9,"[3, 0]","[4, 2]"
10,"[2, 1]","[3, 5]"
11,"[1, 6]","[2, 6]"
12,"[1, 0]","[1, 1]"
13,"[0, 0]","[0, 0]"
14,"[6, 3]","[6, 4]"
15,"[5, 0]","[5, 3]"
16,"[1, 5]","[4, 2]"
17,"[3, 0]","[3, 5]"
18,"[0, 0]","[2, 6]"
19,"[0, 1]","[1, 1]"
20,"[0, 0]","[0, 0]"
21,"[3, 6]","[6, 4]"
22,"[3, 1]","[5, 3]"
23,"[3, 2]","[4, 2]"
24,"[1, 6]","[3, 5]"
25,"[0, 1]","[2, 6]"
26,"[0, 0]","[1, 1]"
27,"[0, 0]","[0, 0]"
28,"[5, 3]","[6, 4]"
29,"[3, 5]","[5, 3]"
30,"[3, 0]","[4, 2]"
31,"[3, 5]","[3, 5]"
32,"[0, 0]","[2, 6]"
33,"[1, 1]","[1, 1]"
34,"[0, 0]","[0, 0]"
35,"[2, 4]","[6, 4]"
36,"[4, 0]","[5, 3]"
37,"[1, 2]","[4, 2]"
38,"[2, 5]","[3, 5]"
39,"[1, 6]","[2, 6]"
40,"[0, 1]","[1, 1]"
41,"[0, 0]","[0, 0]"
42,"[5, 1]","[6, 4]"
43,"[3, 0]","[5, 3]"
44,"[2, 6]","[4, 2]"
45,"[1, 5]","[3, 5]"
46,"[2, 6]","[2, 6]"
47,"[1, 0]","[1, 1]"
48,"[0, 0]","[0, 0]"
49,"[3, 0]","[6, 4]"
50,"[2, 1]","[5, 3]"
51,"[3, 6]","[4, 2]"
52,"[0, 1]","[3, 5]"
53,"[0, 6]","[2, 6]"
54,"[0, 1]","[1, 1]"
55,"[0, 0]","[0, 0]"
56,"[1, 0]","[6, 4]"
57,"[5, 3]","[5, 3]"
58,"[0, 2]","[4, 2]"
59,"[1, 5]","[3, 5]"
60,"[0, 1]","[2, 6]"
61,"[1, 1]","[1, 1]"
62,"[0, 0]","[0, 0]"
63,"[2, 4]","[6, 4]"
64,"[0, 3]","[5, 3]"
65,"[2, 6]","[4, 2]"
66,"[2, 1]","[3, 5]"
67,"[1, 0]","[2, 6]"
68,"[1, 0]","[1, 1]"
69,"[0, 0]","[0, 0]"
70,"[1, 6]","[6, 4]"
