,rand_values,choices
0,"[2, 5]","[6, 3]"
1,"[5, 1]","[5, 0]"
2,"[4, 2]","[4, 1]"
3,"[2, 5]","[3, 2]"
4,"[1, 6]","[2, 6]"
5,"[1, 5]","[1, 4]"
6,"[0, 5]","[0, 5]"
7,"[6, 1]","[6, 0]"
8,"[3, 2]","[5, 6]"
9,"[3, 1]","[4, 5]"
10,"[2, 2]","[3, 2]"
11,"[1, 4]","[2, 4]"
12,"[1, 1]","[1, 3]"
13,"[0, 1]","[0, 1]"
14,"[6, 3]","[6, 0]"
15,"[5, 1]","[5, 1]"
16,"[1, 5]","[4, 6]"
17,"[3, 2]","[3, 5]"
18,"[0, 2]","[2, 2]"
19,"[0, 4]","[1, 4]"
20,"[0, 3]","[0, 3]"
21,"[3, 6]","[6, 6]"
22,"[3, 1]","[5, 0]"
23,"[3, 3]","[4, 5]"
24,"[1, 4]","[3, 4]"
25,"[0, 2]","[2, 3]"
26,"[0, 1]","[1, 2]"
27,"[0, 1]","[0, 1]"
28,"[5, 3]","[6, 6]"
29,"[3, 4]","[5, 0]"
30,"[3, 1]","[4, 4]"
31,"[3, 3]","[3, 1]"
32,"[0, 2]","[2, 2]"
33,"[1, 5]","[1, 5]"
34,"[0, 3]","[0, 3]"
35,"[2, 4]","[6, 4]"
36,"[4, 0]","[5, 6]"
37,"[1, 2]","[4, 0]"
38,"[2, 3]","[3, 5]"
39,"[1, 3]","[2, 3]"
40,"[0, 2]","[1, 2]"
41,"[0, 1]","[0, 1]"
42,"[5, 1]","[6, 0]"
43,"[3, 1]","[5, 3]"
44,"[2, 6]","[4, 6]"
45,"[1, 4]","[3, 4]"
46,"[2, 5]","[2, 5]"
47,"[1, 1]","[1, 2]"
48,"[0, 1]","[0, 1]"
49,"[3, 0]","[6, 0]"
50,"[2, 2]","[5, 6]"
51,"[3, 5]","[4, 5]"
52,"[0, 2]","[3, 2]"
53,"[0, 4]","[2, 4]"
54,"[0, 3]","[1, 3]"
55,"[0, 1]","[0, 1]"
56,"[1, 0]","[6, 0]"
57,"[5, 4]","[5, 6]"
58,"[0, 3]","[4, 5]"
59,"[1, 3]","[3, 4]"
60,"[0, 2]","[2, 1]"
61,"[1, 3]","[1, 2]"
62,"[0, 3]","[0, 3]"
63,"[2, 4]","[6, 6]"
64,"[0, 3]","[5, 5]"
65,"[2, 4]","[4, 0]"
66,"[2, 2]","[3, 1]"
67,"[1, 2]","[2, 4]"
68,"[1, 2]","[1, 3]"
69,"[0, 2]","[0, 2]"
70,"[1, 6]","[6, 6]"
