,rand_values,choices
0,"[2, 5]","[2, 6]"
1,"[6, 1]","[6, 5]"
2,"[5, 1]","[5, 4]"
3,"[3, 2]","[4, 3]"
4,"[1, 2]","[3, 2]"
5,"[1, 1]","[1, 1]"
6,"[0, 0]","[0, 0]"
7,"[6, 1]","[3, 6]"
8,"[4, 1]","[6, 5]"
9,"[4, 0]","[5, 4]"
10,"[2, 1]","[4, 3]"
11,"[1, 2]","[0, 2]"
12,"[2, 0]","[2, 1]"
13,"[1, 0]","[1, 0]"
14,"[6, 3]","[3, 3]"
15,"[6, 0]","[6, 6]"
16,"[1, 4]","[5, 5]"
17,"[4, 0]","[4, 4]"
18,"[0, 0]","[0, 2]"
19,"[1, 1]","[2, 1]"
20,"[1, 0]","[1, 0]"
21,"[3, 6]","[3, 2]"
22,"[4, 1]","[4, 6]"
23,"[5, 3]","[1, 5]"
24,"[2, 4]","[4, 4]"
