,rand_values,choices
0,"[2, 5]","[3, 6]"
1,"[6, 1]","[5, 5]"
2,"[6, 1]","[6, 4]"
3,"[2, 2]","[4, 3]"
4,"[1, 2]","[2, 2]"
5,"[1, 1]","[1, 1]"
6,"[0, 0]","[0, 0]"
7,"[6, 1]","[3, 6]"
8,"[4, 1]","[5, 5]"
9,"[4, 0]","[6, 4]"
10,"[2, 1]","[4, 3]"
11,"[1, 2]","[2, 2]"
12,"[1, 0]","[1, 1]"
13,"[0, 0]","[0, 0]"
14,"[6, 3]","[3, 3]"
15,"[6, 0]","[6, 6]"
16,"[1, 4]","[5, 5]"
17,"[4, 0]","[4, 4]"
18,"[0, 0]","[2, 2]"
19,"[0, 1]","[1, 1]"
20,"[0, 0]","[0, 0]"
21,"[3, 6]","[4, 5]"
22,"[3, 1]","[6, 6]"
23,"[3, 2]","[5, 4]"
24,"[1, 3]","[3, 3]"
25,"[0, 1]","[2, 2]"
26,"[0, 0]","[1, 1]"
27,"[0, 0]","[0, 0]"
28,"[5, 3]","[4, 3]"
29,"[3, 5]","[6, 5]"
30,"[3, 0]","[3, 6]"
31,"[5, 2]","[5, 4]"
32,"[0, 0]","[2, 2]"
33,"[1, 1]","[1, 1]"
34,"[0, 0]","[0, 0]"
35,"[2, 4]","[3, 4]"
36,"[5, 0]","[6, 6]"
37,"[1, 2]","[5, 5]"
38,"[2, 2]","[4, 3]"
39,"[1, 2]","[2, 2]"
40,"[0, 1]","[1, 1]"
41,"[0, 0]","[0, 0]"
42,"[5, 1]","[4, 1]"
43,"[3, 0]","[6, 6]"
44,"[2, 5]","[5, 5]"
45,"[1, 3]","[3, 4]"
46,"[2, 3]","[2, 3]"
47,"[1, 0]","[1, 2]"
48,"[0, 0]","[0, 0]"
49,"[3, 0]","[4, 0]"
50,"[2, 2]","[6, 6]"
51,"[3, 5]","[5, 5]"
52,"[0, 2]","[3, 4]"
53,"[0, 3]","[2, 3]"
54,"[0, 2]","[1, 2]"
55,"[0, 1]","[0, 1]"
56,"[1, 0]","[4, 0]"
57,"[6, 4]","[6, 6]"
58,"[0, 3]","[5, 5]"
59,"[1, 3]","[3, 4]"
60,"[0, 2]","[2, 3]"
61,"[1, 2]","[1, 2]"
62,"[0, 1]","[0, 1]"
63,"[2, 4]","[4, 4]"
64,"[0, 3]","[6, 6]"
65,"[2, 5]","[5, 5]"
66,"[2, 1]","[3, 3]"
67,"[1, 0]","[2, 2]"
68,"[1, 0]","[1, 1]"
69,"[0, 0]","[0, 0]"
70,"[1, 6]","[4, 6]"
