,rand_values,choices
0,"[2, 5]","[3, 4]"
1,"[6, 1]","[6, 5]"
2,"[5, 1]","[2, 3]"
3,"[4, 2]","[4, 1]"
4,"[1, 6]","[5, 2]"
5,"[1, 6]","[1, 0]"
6,"[0, 6]","[0, 6]"
7,"[6, 1]","[3, 5]"
8,"[4, 1]","[6, 4]"
9,"[4, 0]","[5, 3]"
10,"[2, 1]","[4, 2]"
11,"[1, 6]","[2, 1]"
12,"[1, 0]","[1, 0]"
13,"[0, 6]","[0, 6]"
14,"[6, 3]","[2, 5]"
15,"[6, 0]","[6, 4]"
16,"[1, 3]","[5, 3]"
17,"[4, 0]","[4, 2]"
18,"[0, 0]","[3, 1]"
19,"[0, 6]","[1, 0]"
20,"[0, 6]","[0, 6]"
21,"[3, 6]","[2, 5]"
22,"[4, 1]","[6, 4]"
23,"[4, 2]","[5, 3]"
24,"[1, 6]","[4, 2]"
25,"[0, 1]","[3, 1]"
26,"[0, 0]","[1, 0]"
27,"[0, 6]","[0, 6]"
28,"[5, 3]","[3, 4]"
29,"[4, 5]","[6, 5]"
30,"[4, 0]","[2, 3]"
31,"[5, 2]","[4, 2]"
32,"[0, 0]","[5, 1]"
33,"[1, 6]","[1, 0]"
34,"[0, 6]","[0, 6]"
35,"[2, 4]","[3, 5]"
36,"[5, 0]","[6, 4]"
37,"[1, 2]","[2, 3]"
38,"[4, 2]","[4, 2]"
39,"[1, 6]","[5, 1]"
40,"[0, 6]","[1, 0]"
41,"[0, 6]","[0, 6]"
42,"[5, 1]","[2, 5]"
43,"[4, 0]","[6, 4]"
44,"[3, 6]","[5, 3]"
45,"[1, 2]","[4, 2]"
46,"[3, 6]","[3, 1]"
47,"[1, 0]","[1, 0]"
48,"[0, 6]","[0, 6]"
49,"[3, 0]","[2, 5]"
50,"[3, 1]","[6, 4]"
51,"[4, 6]","[5, 3]"
52,"[0, 1]","[4, 2]"
53,"[0, 6]","[3, 1]"
54,"[0, 6]","[1, 0]"
55,"[0, 6]","[0, 6]"
56,"[1, 0]","[2, 5]"
57,"[6, 3]","[6, 4]"
58,"[0, 2]","[5, 3]"
59,"[1, 2]","[4, 2]"
60,"[0, 1]","[3, 1]"
61,"[1, 6]","[1, 0]"
62,"[0, 6]","[0, 6]"
63,"[2, 4]","[3, 5]"
64,"[0, 3]","[6, 4]"
65,"[2, 6]","[5, 3]"
66,"[2, 1]","[4, 2]"
67,"[1, 0]","[2, 1]"
68,"[1, 0]","[1, 0]"
69,"[0, 6]","[0, 6]"
70,"[1, 6]","[2, 5]"
