,rand_values,choices
0,"[2, 5]","[3, 3]"
1,"[6, 1]","[6, 6]"
2,"[5, 1]","[5, 5]"
3,"[2, 2]","[4, 2]"
4,"[1, 4]","[2, 4]"
5,"[1, 1]","[1, 1]"
6,"[0, 0]","[0, 0]"
7,"[6, 1]","[6, 4]"
8,"[3, 1]","[5, 2]"
9,"[3, 0]","[4, 6]"
10,"[2, 1]","[3, 5]"
11,"[1, 3]","[2, 3]"
12,"[1, 0]","[1, 1]"
13,"[0, 0]","[0, 0]"
14,"[6, 3]","[3, 3]"
15,"[6, 0]","[6, 0]"
16,"[1, 5]","[5, 6]"
17,"[4, 1]","[4, 1]"
18,"[0, 2]","[2, 4]"
19,"[0, 5]","[1, 5]"
20,"[0, 2]","[0, 2]"
21,"[3, 6]","[3, 0]"
22,"[4, 2]","[6, 6]"
23,"[4, 3]","[5, 1]"
24,"[1, 5]","[4, 5]"
25,"[0, 3]","[2, 4]"
26,"[0, 2]","[1, 3]"
27,"[0, 2]","[0, 2]"
28,"[5, 3]","[6, 0]"
29,"[3, 5]","[5, 6]"
30,"[3, 1]","[4, 1]"
31,"[3, 4]","[3, 3]"
32,"[0, 2]","[2, 5]"
33,"[1, 4]","[1, 4]"
34,"[0, 2]","[0, 2]"
35,"[2, 4]","[2, 4]"
36,"[5, 0]","[6, 6]"
37,"[1, 2]","[5, 0]"
38,"[3, 3]","[4, 5]"
39,"[1, 3]","[3, 3]"
40,"[0, 2]","[1, 4]"
