,rand_values,choices
0,"[2, 5]","[3, 3]"
1,"[6, 1]","[5, 2]"
2,"[6, 1]","[6, 6]"
3,"[2, 4]","[4, 4]"
4,"[1, 5]","[2, 5]"
5,"[1, 1]","[1, 1]"
6,"[0, 0]","[0, 0]"
7,"[6, 1]","[3, 4]"
8,"[4, 1]","[5, 2]"
9,"[4, 0]","[4, 6]"
10,"[2, 1]","[6, 5]"
11,"[1, 3]","[2, 3]"
12,"[1, 0]","[1, 1]"
13,"[0, 0]","[0, 0]"
14,"[6, 3]","[4, 2]"
15,"[6, 0]","[5, 5]"
16,"[1, 4]","[6, 6]"
17,"[3, 0]","[3, 4]"
18,"[0, 0]","[2, 3]"
19,"[0, 1]","[1, 1]"
20,"[0, 0]","[0, 0]"
21,"[3, 6]","[2, 3]"
22,"[4, 1]","[4, 4]"
23,"[5, 2]","[6, 6]"
24,"[1, 5]","[5, 5]"
25,"[0, 1]","[3, 2]"
26,"[0, 0]","[1, 1]"
27,"[0, 0]","[0, 0]"
28,"[5, 3]","[3, 4]"
29,"[4, 5]","[5, 2]"
30,"[4, 0]","[4, 6]"
31,"[6, 3]","[6, 5]"
32,"[0, 0]","[2, 3]"
33,"[1, 1]","[1, 1]"
34,"[0, 0]","[0, 0]"
35,"[2, 4]","[3, 3]"
36,"[5, 0]","[5, 4]"
37,"[1, 2]","[6, 6]"
38,"[2, 2]","[4, 5]"
39,"[1, 2]","[2, 2]"
40,"[0, 1]","[1, 1]"
41,"[0, 0]","[0, 0]"
42,"[5, 1]","[3, 3]"
43,"[4, 0]","[5, 4]"
44,"[2, 6]","[6, 6]"
45,"[1, 2]","[4, 5]"
46,"[2, 2]","[2, 2]"
47,"[1, 0]","[1, 1]"
48,"[0, 0]","[0, 0]"
49,"[3, 0]","[2, 3]"
50,"[3, 1]","[4, 4]"
51,"[5, 6]","[6, 6]"
52,"[0, 1]","[5, 5]"
53,"[0, 2]","[3, 2]"
54,"[0, 1]","[1, 1]"
55,"[0, 0]","[0, 0]"
56,"[1, 0]","[3, 3]"
57,"[6, 4]","[5, 5]"
58,"[0, 2]","[6, 6]"
59,"[1, 2]","[4, 4]"
60,"[0, 1]","[2, 2]"
61,"[1, 1]","[1, 1]"
62,"[0, 0]","[0, 0]"
63,"[2, 4]","[3, 3]"
64,"[0, 4]","[4, 5]"
65,"[2, 6]","[6, 6]"
66,"[2, 1]","[5, 4]"
67,"[1, 0]","[2, 2]"
68,"[1, 0]","[1, 1]"
69,"[0, 0]","[0, 0]"
70,"[1, 6]","[3, 3]"
