,rand_values,choices
0,"[2, 5]","[3, 3]"
1,"[6, 1]","[6, 6]"
2,"[5, 1]","[5, 5]"
3,"[2, 2]","[4, 4]"
4,"[1, 2]","[2, 2]"
5,"[1, 1]","[1, 1]"
6,"[0, 0]","[0, 0]"
7,"[6, 1]","[5, 4]"
8,"[3, 1]","[6, 6]"
9,"[3, 0]","[4, 5]"
10,"[2, 1]","[3, 3]"
11,"[1, 2]","[2, 0]"
12,"[1, 1]","[1, 1]"
13,"[0, 2]","[0, 2]"
14,"[6, 3]","[4, 3]"
15,"[6, 0]","[6, 6]"
16,"[1, 4]","[5, 5]"
17,"[3, 0]","[3, 4]"
18,"[0, 0]","[2, 2]"
19,"[0, 1]","[1, 1]"
20,"[0, 0]","[0, 0]"
21,"[3, 6]","[4, 5]"
22,"[3, 1]","[6, 6]"
23,"[3, 2]","[5, 4]"
24,"[1, 3]","[3, 3]"
25,"[0, 1]","[2, 0]"
26,"[0, 1]","[1, 2]"
27,"[0, 1]","[0, 1]"
28,"[5, 3]","[6, 3]"
29,"[3, 5]","[5, 0]"
30,"[3, 1]","[4, 6]"
31,"[3, 4]","[3, 5]"
32,"[0, 1]","[2, 4]"
33,"[1, 2]","[1, 2]"
34,"[0, 1]","[0, 1]"
35,"[2, 4]","[6, 0]"
36,"[4, 1]","[5, 6]"
37,"[1, 3]","[4, 5]"
38,"[2, 3]","[3, 3]"
39,"[1, 4]","[2, 4]"
40,"[0, 2]","[1, 6]"
