,rand_values,choices
0,"[2, 5]","[2, 3]"
1,"[6, 1]","[0, 4]"
2,"[6, 1]","[6, 2]"
3,"[4, 5]","[5, 6]"
4,"[3, 5]","[4, 5]"
5,"[3, 1]","[3, 0]"
6,"[1, 1]","[1, 1]"
7,"[6, 1]","[4, 1]"
8,"[3, 2]","[6, 6]"
9,"[3, 0]","[5, 5]"
10,"[2, 2]","[3, 4]"
11,"[1, 3]","[1, 3]"
12,"[2, 0]","[2, 2]"
13,"[0, 0]","[0, 0]"
14,"[6, 3]","[6, 6]"
15,"[5, 0]","[5, 5]"
16,"[1, 3]","[1, 4]"
17,"[4, 0]","[4, 0]"
18,"[0, 1]","[0, 1]"
19,"[2, 3]","[3, 3]"
20,"[2, 2]","[2, 2]"
21,"[3, 6]","[6, 6]"
22,"[3, 1]","[5, 5]"
23,"[3, 2]","[4, 4]"
24,"[1, 3]","[3, 3]"
25,"[0, 1]","[2, 2]"
26,"[0, 0]","[1, 0]"
27,"[0, 1]","[3, 1]"
