,rand_values,choices
0,"[2, 5]","[6, 5]"
1,"[5, 1]","[5, 1]"
2,"[4, 2]","[4, 2]"
3,"[2, 4]","[3, 4]"
4,"[1, 6]","[2, 6]"
5,"[1, 3]","[1, 3]"
6,"[0, 0]","[0, 0]"
7,"[6, 1]","[6, 1]"
8,"[3, 2]","[5, 2]"
9,"[3, 0]","[4, 0]"
10,"[2, 4]","[3, 4]"
11,"[1, 6]","[2, 6]"
12,"[1, 3]","[1, 3]"
13,"[0, 5]","[0, 5]"
14,"[6, 3]","[6, 3]"
15,"[5, 0]","[5, 0]"
16,"[1, 5]","[4, 5]"
17,"[3, 1]","[3, 1]"
18,"[0, 2]","[2, 2]"
19,"[0, 6]","[1, 6]"
20,"[0, 4]","[0, 4]"
21,"[3, 6]","[6, 6]"
22,"[3, 1]","[5, 1]"
23,"[3, 3]","[4, 3]"
24,"[1, 5]","[3, 5]"
25,"[0, 2]","[2, 2]"
26,"[0, 0]","[1, 0]"
27,"[0, 4]","[0, 4]"
28,"[5, 3]","[6, 3]"
29,"[3, 5]","[5, 5]"
30,"[3, 0]","[4, 0]"
31,"[3, 4]","[3, 4]"
32,"[0, 1]","[2, 1]"
33,"[1, 6]","[1, 6]"
34,"[0, 2]","[0, 2]"
35,"[2, 4]","[6, 4]"
36,"[4, 0]","[5, 0]"
37,"[1, 3]","[4, 3]"
38,"[2, 5]","[3, 5]"
39,"[1, 6]","[2, 6]"
40,"[0, 2]","[1, 2]"
41,"[0, 1]","[0, 1]"
42,"[5, 1]","[6, 1]"
43,"[3, 0]","[5, 0]"
44,"[2, 6]","[4, 6]"
45,"[1, 4]","[3, 4]"
46,"[2, 5]","[2, 5]"
47,"[1, 2]","[1, 2]"
48,"[0, 3]","[0, 3]"
49,"[3, 0]","[6, 0]"
50,"[2, 2]","[5, 2]"
51,"[3, 6]","[4, 6]"
52,"[0, 3]","[3, 3]"
53,"[0, 5]","[2, 5]"
54,"[0, 4]","[1, 4]"
55,"[0, 1]","[0, 1]"
56,"[1, 0]","[6, 0]"
57,"[5, 4]","[5, 4]"
58,"[0, 3]","[4, 3]"
59,"[1, 5]","[3, 5]"
60,"[0, 2]","[2, 2]"
61,"[1, 6]","[1, 6]"
62,"[0, 1]","[0, 1]"
63,"[2, 4]","[6, 4]"
64,"[0, 3]","[5, 3]"
65,"[2, 6]","[4, 6]"
66,"[2, 1]","[3, 1]"
67,"[1, 0]","[2, 0]"
68,"[1, 2]","[1, 2]"
69,"[0, 5]","[0, 5]"
70,"[1, 6]","[6, 6]"
