,rand_values,choices
0,"[2, 5]","[2, 6]"
1,"[6, 1]","[6, 5]"
2,"[5, 1]","[5, 4]"
3,"[3, 2]","[4, 3]"
4,"[1, 2]","[3, 2]"
5,"[1, 1]","[1, 1]"
6,"[0, 0]","[0, 0]"
7,"[6, 1]","[6, 6]"
8,"[3, 1]","[5, 5]"
9,"[3, 0]","[4, 4]"
10,"[2, 1]","[3, 3]"
11,"[1, 2]","[2, 2]"
12,"[1, 0]","[1, 1]"
13,"[0, 0]","[0, 0]"
14,"[6, 3]","[6, 6]"
15,"[5, 0]","[5, 5]"
16,"[1, 3]","[4, 4]"
17,"[3, 0]","[3, 3]"
18,"[0, 0]","[2, 2]"
19,"[0, 1]","[1, 1]"
20,"[0, 0]","[0, 0]"
21,"[3, 6]","[6, 6]"
22,"[3, 1]","[5, 5]"
23,"[3, 2]","[4, 4]"
24,"[1, 3]","[3, 3]"
25,"[0, 1]","[2, 2]"
26,"[0, 0]","[1, 1]"
27,"[0, 0]","[0, 0]"
28,"[5, 3]","[6, 6]"
29,"[3, 4]","[5, 5]"
30,"[3, 0]","[4, 4]"
31,"[3, 2]","[3, 3]"
32,"[0, 0]","[2, 2]"
33,"[1, 1]","[1, 1]"
34,"[0, 0]","[0, 0]"
35,"[2, 4]","[6, 6]"
36,"[4, 0]","[5, 5]"
37,"[1, 2]","[4, 4]"
38,"[2, 2]","[3, 3]"
39,"[1, 2]","[2, 2]"
40,"[0, 1]","[1, 1]"
41,"[0, 0]","[0, 0]"
42,"[5, 1]","[6, 6]"
43,"[3, 0]","[5, 5]"
44,"[2, 4]","[4, 4]"
45,"[1, 2]","[3, 3]"
46,"[2, 2]","[2, 2]"
47,"[1, 0]","[1, 1]"
48,"[0, 0]","[0, 0]"
49,"[3, 0]","[6, 6]"
50,"[2, 1]","[5, 5]"
51,"[3, 4]","[4, 4]"
52,"[0, 1]","[3, 3]"
53,"[0, 2]","[2, 2]"
54,"[0, 1]","[1, 1]"
55,"[0, 0]","[0, 0]"
56,"[1, 0]","[6, 6]"
57,"[5, 3]","[5, 5]"
58,"[0, 2]","[4, 4]"
59,"[1, 2]","[3, 3]"
60,"[0, 1]","[2, 2]"
61,"[1, 1]","[1, 1]"
62,"[0, 0]","[0, 0]"
63,"[2, 4]","[6, 6]"
64,"[0, 3]","[5, 5]"
65,"[2, 4]","[4, 4]"
66,"[2, 1]","[3, 3]"
67,"[1, 0]","[2, 2]"
68,"[1, 0]","[1, 1]"
69,"[0, 0]","[0, 0]"
70,"[1, 6]","[6, 6]"
