,rand_values,choices
0,"[2, 5]","[2, 5]"
1,"[6, 1]","[6, 1]"
2,"[5, 2]","[5, 2]"
3,"[3, 4]","[4, 4]"
4,"[1, 6]","[3, 6]"
5,"[1, 3]","[1, 3]"
6,"[0, 0]","[0, 0]"
7,"[6, 1]","[6, 1]"
8,"[3, 2]","[5, 2]"
9,"[3, 0]","[4, 0]"
10,"[2, 4]","[3, 4]"
11,"[1, 6]","[2, 3]"
12,"[1, 5]","[1, 5]"
13,"[0, 6]","[0, 6]"
14,"[6, 3]","[6, 3]"
15,"[5, 0]","[5, 0]"
16,"[1, 5]","[4, 5]"
17,"[3, 1]","[3, 1]"
18,"[0, 2]","[2, 2]"
19,"[0, 6]","[1, 6]"
20,"[0, 4]","[0, 4]"
21,"[3, 6]","[3, 6]"
22,"[4, 1]","[6, 1]"
23,"[4, 3]","[5, 3]"
24,"[1, 5]","[4, 5]"
25,"[0, 2]","[2, 2]"
26,"[0, 0]","[1, 0]"
27,"[0, 4]","[0, 4]"
28,"[5, 3]","[5, 3]"
29,"[3, 5]","[6, 5]"
30,"[3, 0]","[4, 0]"
31,"[3, 4]","[3, 4]"
32,"[0, 1]","[2, 1]"
33,"[1, 6]","[1, 6]"
34,"[0, 2]","[0, 2]"
35,"[2, 4]","[2, 4]"
36,"[5, 0]","[6, 0]"
37,"[1, 3]","[5, 3]"
38,"[3, 5]","[4, 5]"
39,"[1, 6]","[3, 6]"
40,"[0, 2]","[1, 2]"
41,"[0, 1]","[0, 1]"
42,"[5, 1]","[5, 1]"
43,"[3, 0]","[6, 0]"
44,"[2, 6]","[4, 6]"
45,"[1, 4]","[3, 4]"
46,"[2, 5]","[2, 5]"
47,"[1, 2]","[1, 2]"
48,"[0, 3]","[0, 3]"
49,"[3, 0]","[3, 0]"
50,"[2, 2]","[6, 2]"
51,"[4, 6]","[5, 6]"
52,"[0, 3]","[4, 3]"
53,"[0, 5]","[2, 5]"
54,"[0, 4]","[1, 4]"
55,"[0, 1]","[0, 1]"
56,"[1, 0]","[1, 0]"
57,"[6, 4]","[6, 4]"
58,"[0, 3]","[5, 3]"
59,"[2, 5]","[4, 5]"
60,"[0, 2]","[3, 2]"
61,"[2, 6]","[2, 6]"
62,"[0, 1]","[0, 1]"
63,"[2, 4]","[2, 4]"
64,"[0, 3]","[6, 3]"
65,"[3, 6]","[5, 6]"
66,"[3, 1]","[4, 5]"
67,"[1, 0]","[3, 0]"
68,"[1, 1]","[1, 1]"
69,"[0, 2]","[0, 2]"
70,"[1, 6]","[1, 6]"
