,rand_values,choices
0,"[2, 5]","[2, 5]"
1,"[6, 1]","[6, 1]"
2,"[5, 2]","[5, 2]"
3,"[3, 4]","[3, 4]"
4,"[1, 6]","[1, 6]"
5,"[4, 3]","[4, 3]"
6,"[0, 0]","[0, 0]"
7,"[6, 1]","[6, 1]"
8,"[3, 2]","[3, 2]"
9,"[4, 0]","[4, 0]"
10,"[2, 4]","[5, 4]"
11,"[1, 6]","[1, 6]"
12,"[2, 3]","[2, 3]"
13,"[0, 5]","[0, 5]"
14,"[6, 3]","[6, 3]"
15,"[5, 0]","[5, 0]"
16,"[1, 5]","[1, 5]"
17,"[4, 1]","[4, 1]"
18,"[0, 2]","[0, 2]"
19,"[2, 6]","[2, 6]"
20,"[3, 4]","[3, 4]"
21,"[3, 6]","[3, 6]"
22,"[4, 1]","[6, 1]"
23,"[4, 3]","[4, 3]"
24,"[1, 5]","[None, 5]"
