,rand_values,choices
0,"[2, 5]","[2, 6]"
1,"[6, 1]","[6, 5]"
2,"[5, 1]","[5, 4]"
3,"[3, 2]","[4, 3]"
4,"[1, 2]","[3, 2]"
5,"[1, 1]","[1, 1]"
6,"[0, 0]","[0, 0]"
7,"[6, 1]","[2, 6]"
8,"[4, 1]","[5, 5]"
9,"[4, 0]","[6, 4]"
10,"[3, 1]","[4, 3]"
11,"[1, 2]","[3, 2]"
12,"[1, 0]","[1, 1]"
13,"[0, 0]","[0, 0]"
14,"[6, 3]","[6, 6]"
15,"[5, 0]","[5, 5]"
16,"[1, 3]","[4, 4]"
17,"[3, 0]","[3, 3]"
18,"[0, 0]","[2, 2]"
19,"[0, 1]","[1, 1]"
20,"[0, 0]","[0, 0]"
21,"[3, 6]","[6, 6]"
22,"[3, 1]","[5, 5]"
23,"[3, 2]","[4, 4]"
24,"[1, 3]","[3, 3]"
25,"[0, 1]","[2, 2]"
26,"[0, 0]","[0, 1]"
27,"[1, 0]","[1, 0]"
28,"[5, 3]","[6, 6]"
29,"[3, 4]","[5, 5]"
30,"[3, 0]","[4, 4]"
31,"[3, 2]","[3, 3]"
32,"[0, 0]","[2, 2]"
33,"[1, 1]","[1, 1]"
34,"[0, 0]","[0, 0]"
35,"[2, 4]","[6, 6]"
36,"[4, 0]","[5, 5]"
37,"[1, 2]","[4, 4]"
38,"[2, 2]","[3, 3]"
39,"[1, 2]","[1, 2]"
40,"[0, 1]","[0, 1]"
41,"[2, 0]","[6543210, 0]"
