,rand_values,choices
0,"[2, 5]","[2, 5]"
1,"[6, 1]","[6, 1]"
2,"[5, 2]","[5, 2]"
3,"[3, 4]","[3, 4]"
4,"[1, 6]","[1, 6]"
5,"[4, 3]","[4, 3]"
6,"[0, 0]","[0, 0]"
7,"[6, 1]","[6, 1]"
8,"[3, 2]","[3, 2]"
9,"[4, 0]","[4, 0]"
10,"[2, 4]","[2, 4]"
11,"[1, 6]","[5, 6]"
12,"[1, 3]","[1, 3]"
13,"[0, 5]","[0, 5]"
14,"[6, 3]","[6, 3]"
15,"[5, 0]","[5, 0]"
16,"[1, 5]","[1, 5]"
17,"[4, 1]","[4, 1]"
18,"[0, 2]","[3, 2]"
19,"[0, 6]","[0, 6]"
20,"[2, 4]","[2, 4]"
21,"[3, 6]","[3, 6]"
22,"[4, 1]","[4, 1]"
23,"[5, 3]","[5, 3]"
24,"[1, 5]","[1, 5]"
25,"[0, 2]","[0, 2]"
26,"[2, 0]","[6, 0]"
27,"[2, 4]","[2, 4]"
28,"[5, 3]","[5, 3]"
29,"[3, 5]","[3, 5]"
30,"[4, 0]","[4, 0]"
31,"[6, 4]","[6, 4]"
32,"[0, 1]","[0, 1]"
33,"[2, 6]","[6, 6]"
