,rand_values,choices
0,"[2, 5]","[2, 6]"
1,"[6, 1]","[6, 5]"
2,"[5, 1]","[5, 4]"
3,"[3, 2]","[3, 3]"
4,"[1, 2]","[1, 2]"
5,"[4, 1]","[4, 1]"
6,"[0, 0]","[0, 0]"
7,"[6, 1]","[6, 6]"
8,"[3, 1]","[3, 5]"
9,"[4, 0]","[4, 4]"
10,"[2, 1]","[2, 3]"
11,"[1, 2]","[1, 2]"
12,"[5, 0]","[5, 1]"
13,"[0, 0]","[0, 0]"
14,"[6, 3]","[6, 6]"
15,"[5, 0]","[5, 5]"
16,"[1, 3]","[1, 4]"
17,"[4, 0]","[4, 3]"
18,"[0, 0]","[0, 2]"
19,"[2, 1]","[2, 1]"
20,"[3, 0]","[3, 0]"
21,"[3, 6]","[3, 6]"
22,"[4, 1]","[4, 5]"
23,"[5, 2]","[5, 4]"
24,"[1, 3]","[1, 3]"
25,"[0, 1]","[0, 2]"
26,"[2, 0]","[2, 1]"
27,"[6, 0]","[6, 0]"
28,"[5, 3]","[5, 6]"
29,"[3, 4]","[3, 5]"
30,"[4, 0]","[4, 4]"
31,"[6, 2]","[6, 3]"
32,"[0, 0]","[0, 2]"
33,"[2, 1]","[2, 1]"
34,"[1, 0]","[1, 0]"
35,"[2, 4]","[2, 6]"
36,"[5, 0]","[5, 5]"
37,"[1, 2]","[1, 4]"
38,"[4, 2]","[4, 3]"
39,"[3, 2]","[3, 2]"
40,"[0, 1]","[0, 1]"
41,"[6, 0]","[6, 0]"
42,"[5, 1]","[5, 6]"
43,"[3, 0]","[3, 5]"
44,"[2, 4]","[2, 4]"
45,"[1, 2]","[1, 3]"
46,"[6, 2]","[6, 2]"
47,"[4, 0]","[4, 1]"
48,"[0, 0]","[0, 0]"
49,"[3, 0]","[3, 6]"
50,"[2, 1]","[2, 5]"
51,"[5, 4]","[5, 4]"
52,"[0, 1]","[0, 3]"
53,"[1, 2]","[1, 2]"
54,"[4, 1]","[4, 1]"
55,"[6, 0]","[6, 0]"
56,"[1, 0]","[1, 6]"
57,"[6, 3]","[6, 5]"
58,"[0, 2]","[0, 4]"
59,"[3, 2]","[3, 3]"
60,"[2, 1]","[2, 2]"
61,"[5, 1]","[5, 1]"
62,"[4, 0]","[4, 0]"
63,"[2, 4]","[2, 6]"
64,"[0, 3]","[0, 5]"
65,"[4, 4]","[4, 4]"
66,"[5, 1]","[5, 3]"
67,"[3, 0]","[3, 2]"
68,"[6, 0]","[6, 1]"
69,"[1, 0]","[1, 0]"
70,"[1, 6]","[1, 6]"
