,rand_values,choices
0,"[2, 5]","[2, 5]"
1,"[6, 1]","[6, 1]"
2,"[5, 2]","[5, 2]"
3,"[3, 4]","[3, 6]"
4,"[1, 4]","[1, 4]"
5,"[4, 3]","[4, 0]"
6,"[0, 3]","[0, 3]"
7,"[6, 1]","[6, 1]"
8,"[3, 2]","[3, 2]"
9,"[4, 0]","[4, 0]"
10,"[2, 4]","[2, 4]"
11,"[1, 6]","[1, 6]"
12,"[5, 3]","[5, 3]"
13,"[0, 5]","[0, 5]"
14,"[6, 3]","[6, 3]"
15,"[5, 0]","[5, 0]"
16,"[1, 5]","[1, 5]"
17,"[4, 1]","[4, 1]"
18,"[0, 2]","[0, 2]"
19,"[2, 6]","[2, 6]"
20,"[3, 4]","[3, 4]"
21,"[3, 6]","[3, 6]"
22,"[4, 1]","[4, 1]"
23,"[5, 3]","[5, 3]"
24,"[1, 5]","[1, 5]"
25,"[0, 2]","[0, 2]"
26,"[2, 0]","[2, 0]"
27,"[6, 4]","[6, 4]"
28,"[5, 3]","[5, 3]"
29,"[3, 5]","[3, 5]"
30,"[4, 0]","[4, 0]"
31,"[6, 4]","[6, 4]"
32,"[0, 1]","[0, 1]"
33,"[2, 6]","[2, 6]"
34,"[1, 2]","[1, 2]"
35,"[2, 4]","[2, 4]"
36,"[5, 0]","[5, 0]"
37,"[1, 3]","[1, 3]"
38,"[4, 5]","[4, 5]"
39,"[3, 6]","[3, 6]"
40,"[0, 2]","[0, 2]"
41,"[6, 1]","[6, 1]"
42,"[5, 1]","[5, 1]"
43,"[3, 0]","[3, 0]"
44,"[2, 6]","[2, 6]"
45,"[1, 4]","[1, 4]"
46,"[6, 5]","[6, 5]"
47,"[4, 2]","[4, 2]"
48,"[0, 3]","[0, 3]"
49,"[3, 0]","[3, 0]"
50,"[2, 2]","[2, 2]"
51,"[5, 6]","[5, 6]"
52,"[0, 3]","[0, 3]"
53,"[1, 5]","[6, 5]"
54,"[1, 4]","[1, 4]"
55,"[4, 1]","[4, 1]"
56,"[1, 0]","[1, 0]"
57,"[6, 4]","[6, 4]"
58,"[0, 3]","[0, 3]"
59,"[3, 5]","[3, 5]"
60,"[2, 2]","[2, 2]"
61,"[5, 6]","[5, 6]"
62,"[4, 1]","[4, 1]"
63,"[2, 4]","[2, 4]"
64,"[0, 3]","[0, 3]"
65,"[4, 6]","[4, 6]"
66,"[5, 1]","[5, 1]"
67,"[3, 0]","[3, 0]"
68,"[6, 2]","[6, 2]"
69,"[1, 5]","[1, 5]"
70,"[1, 6]","[0, 6]"
