,rand_values,choices
0,"[2, 5]","[6, 5]"
1,"[5, 1]","[5, 1]"
2,"[4, 2]","[4, 2]"
3,"[2, 4]","[3, 6]"
4,"[1, 4]","[2, 4]"
5,"[1, 3]","[1, 3]"
6,"[0, 0]","[0, 0]"
7,"[6, 1]","[6, 0]"
8,"[3, 2]","[5, 6]"
9,"[3, 1]","[4, 5]"
10,"[2, 2]","[3, 4]"
11,"[1, 3]","[2, 3]"
12,"[1, 1]","[1, 1]"
13,"[0, 2]","[0, 2]"
14,"[6, 3]","[6, 3]"
15,"[5, 0]","[5, 6]"
16,"[1, 4]","[4, 5]"
17,"[3, 0]","[3, 0]"
18,"[0, 1]","[2, 4]"
19,"[0, 2]","[1, 2]"
20,"[0, 1]","[0, 1]"
21,"[3, 6]","[6, 0]"
22,"[3, 2]","[5, 2]"
23,"[3, 4]","[4, 6]"
24,"[1, 5]","[3, 5]"
25,"[0, 3]","[2, 3]"
26,"[0, 1]","[1, 4]"
27,"[0, 1]","[0, 1]"
28,"[5, 3]","[6, 3]"
29,"[3, 5]","[5, 6]"
30,"[3, 0]","[4, 0]"
31,"[3, 4]","[3, 4]"
32,"[0, 1]","[2, 5]"
33,"[1, 2]","[1, 2]"
34,"[0, 1]","[0, 1]"
35,"[2, 4]","[6, 4]"
36,"[4, 0]","[5, 0]"
37,"[1, 3]","[4, 3]"
38,"[2, 5]","[3, 5]"
39,"[1, 6]","[2, 6]"
40,"[0, 2]","[1, 2]"
41,"[0, 1]","[0, 1]"
42,"[5, 1]","[6, 3]"
43,"[3, 0]","[5, 1]"
44,"[2, 6]","[4, 0]"
45,"[1, 5]","[3, 6]"
46,"[2, 5]","[2, 5]"
47,"[1, 2]","[1, 2]"
48,"[0, 4]","[0, 4]"
49,"[3, 0]","[6, 3]"
50,"[2, 1]","[5, 6]"
51,"[3, 5]","[4, 1]"
52,"[0, 2]","[3, 0]"
53,"[0, 5]","[2, 4]"
54,"[0, 5]","[1, 2]"
55,"[0, 5]","[0, 5]"
56,"[1, 0]","[6, 0]"
57,"[5, 4]","[5, 1]"
58,"[0, 4]","[4, 4]"
59,"[1, 5]","[3, 5]"
60,"[0, 3]","[2, 3]"
61,"[1, 6]","[1, 6]"
62,"[0, 2]","[0, 2]"
63,"[2, 4]","[6, 4]"
64,"[0, 3]","[5, 6]"
65,"[2, 5]","[4, 5]"
66,"[2, 1]","[3, 1]"
67,"[1, 0]","[2, 0]"
68,"[1, 2]","[1, 2]"
69,"[0, 3]","[0, 3]"
70,"[1, 6]","[6, 3]"
