,rand_values,choices
0,"[2, 5]","[2, 6]"
1,"[6, 1]","[6, 5]"
2,"[5, 1]","[5, 4]"
3,"[3, 2]","[3, 3]"
4,"[1, 2]","[4, 2]"
5,"[1, 1]","[1, 1]"
6,"[0, 0]","[0, 0]"
7,"[6, 1]","[6, 6]"
8,"[3, 1]","[3, 5]"
9,"[4, 0]","[5, 4]"
10,"[2, 1]","[4, 3]"
11,"[1, 2]","[1, 2]"
12,"[2, 0]","[2, 1]"
13,"[0, 0]","[0, 0]"
14,"[6, 3]","[6, 6]"
15,"[5, 0]","[5, 5]"
16,"[1, 3]","[1, 4]"
17,"[4, 0]","[4, 3]"
18,"[0, 0]","[3, 2]"
19,"[0, 1]","[2, 1]"
20,"[0, 0]","[0, 0]"
21,"[3, 6]","[6, 6]"
22,"[3, 1]","[1, 5]"
23,"[4, 2]","[4, 4]"
