,rand_values,choices
0,"[2, 5]","[2, 3]"
1,"[6, 1]","[3, 4]"
2,"[6, 1]","[5, 5]"
3,"[4, 2]","[4, 6]"
4,"[1, 2]","[6, 2]"
5,"[1, 1]","[1, 1]"
6,"[0, 0]","[0, 0]"
7,"[6, 1]","[6, 3]"
8,"[3, 1]","[5, 5]"
9,"[3, 0]","[4, 6]"
10,"[2, 1]","[3, 2]"
11,"[1, 4]","[2, 4]"
12,"[1, 0]","[1, 1]"
13,"[0, 0]","[0, 0]"
14,"[6, 3]","[5, 3]"
15,"[6, 0]","[6, 4]"
16,"[1, 5]","[1, 5]"
17,"[4, 0]","[3, 6]"
18,"[0, 0]","[4, 2]"
19,"[0, 1]","[2, 1]"
20,"[0, 0]","[0, 0]"
21,"[3, 6]","[4, 6]"
22,"[3, 1]","[6, 5]"
23,"[3, 2]","[5, 4]"
24,"[1, 3]","[2, 3]"
25,"[0, 1]","[3, 2]"
26,"[0, 0]","[1, 1]"
27,"[0, 0]","[0, 0]"
28,"[5, 3]","[5, 3]"
29,"[3, 5]","[6, 4]"
30,"[3, 0]","[1, 5]"
31,"[4, 2]","[4, 6]"
32,"[0, 0]","[0, 2]"
33,"[3, 1]","[3, 1]"
34,"[2, 0]","[2, 0]"
35,"[2, 4]","[1, 4]"
36,"[5, 0]","[0, 5]"
