,rand_values,choices
0,"[2, 5]","[2, 5]"
1,"[6, 1]","[6, 1]"
2,"[5, 2]","[5, 6]"
3,"[3, 3]","[3, 3]"
4,"[1, 4]","[1, 4]"
5,"[4, 2]","[4, 2]"
6,"[0, 0]","[0, 0]"
7,"[6, 1]","[6, 1]"
8,"[3, 2]","[5, 2]"
9,"[3, 0]","[3, 0]"
10,"[2, 4]","[4, 6]"
11,"[1, 5]","[1, 4]"
12,"[2, 3]","[2, 5]"
13,"[0, 3]","[0, 3]"
14,"[6, 3]","[2, 3]"
15,"[6, 0]","[6, 6]"
16,"[1, 4]","[1, 4]"
17,"[5, 0]","[5, 5]"
18,"[0, 0]","[0, 0]"
19,"[3, 2]","[3, 2]"
20,"[4, 1]","[4, 1]"
21,"[3, 6]","[4, 6]"
22,"[3, 1]","[3, 1]"
23,"[5, 3]","[5, 2]"
24,"[1, 5]","[1, 5]"
25,"[0, 3]","[0, 3]"
26,"[2, 0]","[2, 0]"
27,"[6, 4]","[6, 4]"
28,"[5, 3]","[5, 3]"
29,"[3, 5]","[6, 6]"
30,"[3, 0]","[3, 5]"
31,"[4, 2]","[4, 4]"
32,"[0, 0]","[0, 2]"
