,rand_values,choices
0,"[2, 5]","[2, 5]"
1,"[6, 1]","[6, 4]"
2,"[5, 1]","[5, 6]"
3,"[3, 2]","[3, 3]"
4,"[1, 2]","[4, 2]"
5,"[1, 1]","[1, 1]"
6,"[0, 0]","[0, 0]"
7,"[6, 1]","[6, 4]"
8,"[3, 1]","[5, 5]"
9,"[3, 0]","[3, 6]"
10,"[2, 1]","[2, 2]"
11,"[1, 3]","[4, 3]"
12,"[1, 0]","[1, 1]"
13,"[0, 0]","[0, 0]"
14,"[6, 3]","[6, 3]"
15,"[5, 0]","[5, 5]"
16,"[1, 4]","[1, 6]"
17,"[4, 0]","[4, 4]"
18,"[0, 0]","[3, 2]"
19,"[0, 1]","[2, 1]"
20,"[0, 0]","[0, 0]"
21,"[3, 6]","[3, 5]"
22,"[4, 1]","[6, 6]"
23,"[4, 2]","[5, 4]"
24,"[1, 3]","[4, 3]"
25,"[0, 1]","[2, 2]"
26,"[0, 0]","[1, 1]"
27,"[0, 0]","[0, 0]"
28,"[5, 3]","[6, 3]"
29,"[3, 5]","[5, 5]"
30,"[3, 0]","[3, 6]"
31,"[4, 2]","[4, 4]"
32,"[0, 0]","[2, 2]"
33,"[1, 1]","[1, 1]"
34,"[0, 0]","[0, 0]"
35,"[2, 4]","[3, 4]"
36,"[5, 0]","[5, 5]"
37,"[1, 2]","[6, 6]"
38,"[2, 2]","[4, 3]"
39,"[1, 2]","[2, 2]"
40,"[0, 1]","[1, 1]"
41,"[0, 0]","[0, 0]"
42,"[5, 1]","[6, 4]"
43,"[3, 0]","[5, 5]"
44,"[2, 6]","[2, 6]"
45,"[1, 2]","[4, 3]"
46,"[3, 2]","[3, 2]"
47,"[1, 0]","[1, 1]"
48,"[0, 0]","[0, 0]"
49,"[3, 0]","[3, 4]"
50,"[2, 1]","[5, 5]"
51,"[4, 6]","[6, 6]"
52,"[0, 1]","[4, 3]"
53,"[0, 2]","[2, 2]"
54,"[0, 1]","[1, 1]"
55,"[0, 0]","[0, 0]"
56,"[1, 0]","[3, 4]"
57,"[6, 3]","[5, 5]"
58,"[0, 2]","[6, 6]"
59,"[1, 2]","[4, 3]"
60,"[0, 1]","[2, 2]"
61,"[1, 1]","[1, 1]"
62,"[0, 0]","[0, 0]"
63,"[2, 4]","[3, 4]"
64,"[0, 3]","[5, 5]"
65,"[2, 6]","[6, 6]"
66,"[2, 1]","[4, 3]"
67,"[1, 0]","[2, 2]"
68,"[1, 0]","[1, 1]"
69,"[0, 0]","[0, 0]"
70,"[1, 6]","[3, 5]"
