,rand_values,choices
0,"[2, 5]","[2, 5]"
1,"[6, 1]","[0, 6]"
2,"[6, 1]","[6, 2]"
3,"[4, 3]","[5, 4]"
4,"[3, 3]","[4, 3]"
5,"[3, 1]","[3, 1]"
6,"[1, 0]","[1, 0]"
7,"[6, 1]","[6, 1]"
8,"[3, 2]","[3, 6]"
9,"[4, 0]","[4, 5]"
10,"[2, 2]","[5, 2]"
11,"[1, 4]","[2, 4]"
12,"[1, 0]","[1, 3]"
13,"[0, 0]","[0, 0]"
14,"[6, 3]","[6, 6]"
15,"[5, 0]","[5, 3]"
16,"[1, 4]","[1, 5]"
17,"[4, 0]","[4, 2]"
18,"[0, 0]","[3, 4]"
19,"[0, 1]","[2, 1]"
20,"[0, 0]","[0, 0]"
21,"[3, 6]","[3, 6]"
22,"[4, 1]","[4, 5]"
23,"[5, 2]","[6, 0]"
24,"[1, 4]","[0, 1]"
25,"[1, 3]","[5, 4]"
26,"[1, 2]","[2, 3]"
27,"[1, 2]","[1, 2]"
28,"[5, 3]","[5, 3]"
29,"[3, 5]","[6, 5]"
30,"[3, 0]","[4, 0]"
31,"[3, 4]","[3, 6]"
32,"[0, 1]","[0, 4]"
33,"[2, 2]","[2, 2]"
34,"[1, 1]","[1, 1]"
35,"[2, 4]","[2, 4]"
36,"[5, 0]","[5, 3]"
37,"[1, 2]","[1, 6]"
38,"[4, 2]","[6, 2]"
39,"[3, 5]","[4, 0]"
40,"[0, 5]","[0, 5]"
41,"[3, 1]","[3, 1]"
42,"[5, 1]","[3, 1]"
43,"[4, 0]","[4, 0]"
44,"[2, 6]","[0, 6]"
45,"[2, 4]","[6, 2]"
46,"[5, 5]","[5, 5]"
47,"[2, 3]","[2, 3]"
48,"[1, 4]","[1, 4]"
49,"[3, 0]","[3, 0]"
50,"[2, 2]","[6, 6]"
51,"[4, 5]","[5, 5]"
52,"[0, 2]","[4, 2]"
53,"[0, 4]","[2, 4]"
54,"[0, 3]","[0, 3]"
55,"[1, 1]","[1, 1]"
56,"[1, 0]","[1, 0]"
57,"[6, 4]","[6, 4]"
58,"[0, 3]","[5, 6]"
59,"[2, 3]","[4, 3]"
60,"[0, 2]","[3, 2]"
61,"[2, 5]","[2, 5]"
62,"[0, 1]","[0, 1]"
63,"[2, 4]","[2, 4]"
64,"[0, 3]","[3, 6]"
65,"[4, 5]","[4, 5]"
66,"[5, 1]","[6, 1]"
67,"[1, 0]","[1, 0]"
68,"[5, 2]","[5, 3]"
69,"[0, 2]","[0, 2]"
70,"[1, 6]","[3, 4]"
